78 6144 12288 2048 64 1 576 512
blk.4.indexer.proj.weight 0 6144 32 1 1
blk.5.attn_k_b.weight 8 192 512 64 1
blk.5.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.5.attn_kv_a_norm.weight 0 512 1 1 1
blk.5.attn_norm.weight 0 6144 1 1 1
blk.5.attn_output.weight 8 16384 6144 1 1
blk.5.attn_q_a.weight 8 6144 2048 1 1
blk.5.attn_q_a_norm.weight 0 2048 1 1 1
blk.5.attn_q_b.weight 8 2048 16384 1 1
blk.5.attn_v_b.weight 8 512 256 64 1
blk.5.exp_probs_b.bias 0 256 1 1 1
blk.5.ffn_down_exps.weight 13 2048 6144 256 1
blk.5.ffn_down_shexp.weight 8 2048 6144 1 1
blk.5.ffn_gate_exps.weight 12 6144 2048 256 1
blk.5.ffn_gate_inp.weight 0 6144 256 1 1
blk.5.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.5.ffn_norm.weight 0 6144 1 1 1
blk.5.ffn_up_exps.weight 12 6144 2048 256 1
blk.5.ffn_up_shexp.weight 8 6144 2048 1 1
blk.5.indexer.attn_k.weight 8 6144 128 1 1
blk.5.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.5.indexer.k_norm.bias 0 128 1 1 1
blk.5.indexer.k_norm.weight 0 128 1 1 1
blk.5.indexer.proj.weight 0 6144 32 1 1
blk.6.attn_k_b.weight 8 192 512 64 1
blk.6.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.6.attn_kv_a_norm.weight 0 512 1 1 1
blk.6.attn_norm.weight 0 6144 1 1 1
blk.6.attn_output.weight 8 16384 6144 1 1
blk.6.attn_q_a.weight 8 6144 2048 1 1
blk.6.attn_q_a_norm.weight 0 2048 1 1 1
blk.6.attn_q_b.weight 8 2048 16384 1 1
blk.6.attn_v_b.weight 8 512 256 64 1
blk.6.exp_probs_b.bias 0 256 1 1 1
blk.6.ffn_down_exps.weight 13 2048 6144 256 1
blk.6.ffn_down_shexp.weight 8 2048 6144 1 1
blk.6.ffn_gate_exps.weight 12 6144 2048 256 1
blk.6.ffn_gate_inp.weight 0 6144 256 1 1
blk.6.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.6.ffn_norm.weight 0 6144 1 1 1
blk.6.ffn_up_exps.weight 12 6144 2048 256 1
blk.6.ffn_up_shexp.weight 8 6144 2048 1 1
blk.6.indexer.attn_k.weight 8 6144 128 1 1
blk.6.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.6.indexer.k_norm.bias 0 128 1 1 1
blk.6.indexer.k_norm.weight 0 128 1 1 1
blk.6.indexer.proj.weight 0 6144 32 1 1
blk.7.attn_k_b.weight 8 192 512 64 1
blk.7.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.7.attn_kv_a_norm.weight 0 512 1 1 1
blk.7.attn_norm.weight 0 6144 1 1 1
blk.7.attn_output.weight 8 16384 6144 1 1
blk.7.attn_q_a.weight 8 6144 2048 1 1
blk.7.attn_q_a_norm.weight 0 2048 1 1 1
blk.7.attn_q_b.weight 8 2048 16384 1 1
blk.7.attn_v_b.weight 8 512 256 64 1
blk.7.exp_probs_b.bias 0 256 1 1 1
blk.7.ffn_down_exps.weight 13 2048 6144 256 1
blk.7.ffn_down_shexp.weight 8 2048 6144 1 1
blk.7.ffn_gate_exps.weight 12 6144 2048 256 1
blk.7.ffn_gate_inp.weight 0 6144 256 1 1
blk.7.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.7.ffn_norm.weight 0 6144 1 1 1
blk.7.ffn_up_exps.weight 12 6144 2048 256 1
blk.7.ffn_up_shexp.weight 8 6144 2048 1 1
blk.7.indexer.attn_k.weight 8 6144 128 1 1
blk.7.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.7.indexer.k_norm.bias 0 128 1 1 1
blk.7.indexer.k_norm.weight 0 128 1 1 1
blk.7.indexer.proj.weight 0 6144 32 1 1
blk.8.attn_k_b.weight 8 192 512 64 1
blk.8.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.8.attn_kv_a_norm.weight 0 512 1 1 1
blk.8.attn_norm.weight 0 6144 1 1 1
blk.8.attn_output.weight 8 16384 6144 1 1
blk.8.attn_q_a.weight 8 6144 2048 1 1
blk.8.attn_q_a_norm.weight 0 2048 1 1 1
blk.8.attn_q_b.weight 8 2048 16384 1 1
blk.8.attn_v_b.weight 8 512 256 64 1
blk.8.exp_probs_b.bias 0 256 1 1 1
blk.8.ffn_down_exps.weight 14 2048 6144 256 1
blk.8.ffn_down_shexp.weight 8 2048 6144 1 1
blk.8.ffn_gate_exps.weight 13 6144 2048 256 1
blk.8.ffn_gate_inp.weight 0 6144 256 1 1
blk.8.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.8.ffn_norm.weight 0 6144 1 1 1
blk.8.ffn_up_exps.weight 13 6144 2048 256 1
blk.8.ffn_up_shexp.weight 8 6144 2048 1 1
blk.8.indexer.attn_k.weight 8 6144 128 1 1
blk.8.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.8.indexer.k_norm.bias 0 128 1 1 1
blk.8.indexer.k_norm.weight 0 128 1 1 1
blk.8.indexer.proj.weight 0 6144 32 1 1
blk.9.attn_k_b.weight 8 192 512 64 1
blk.9.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.9.attn_kv_a_norm.weight 0 512 1 1 1
blk.9.attn_norm.weight 0 6144 1 1 1
blk.9.attn_output.weight 8 16384 6144 1 1
blk.9.attn_q_a.weight 8 6144 2048 1 1
blk.9.attn_q_a_norm.weight 0 2048 1 1 1
blk.9.attn_q_b.weight 8 2048 16384 1 1
blk.9.attn_v_b.weight 8 512 256 64 1
blk.9.exp_probs_b.bias 0 256 1 1 1
blk.9.ffn_down_exps.weight 13 2048 6144 256 1
blk.9.ffn_down_shexp.weight 8 2048 6144 1 1
blk.9.ffn_gate_exps.weight 12 6144 2048 256 1
blk.9.ffn_gate_inp.weight 0 6144 256 1 1
blk.9.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.9.ffn_norm.weight 0 6144 1 1 1
blk.9.ffn_up_exps.weight 12 6144 2048 256 1
blk.9.ffn_up_shexp.weight 8 6144 2048 1 1
blk.9.indexer.attn_k.weight 8 6144 128 1 1
blk.9.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.9.indexer.k_norm.bias 0 128 1 1 1
blk.9.indexer.k_norm.weight 0 128 1 1 1
blk.9.indexer.proj.weight 0 6144 32 1 1
blk.10.attn_k_b.weight 8 192 512 64 1
blk.10.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.10.attn_kv_a_norm.weight 0 512 1 1 1
blk.10.attn_norm.weight 0 6144 1 1 1
blk.10.attn_output.weight 8 16384 6144 1 1
blk.10.attn_q_a.weight 8 6144 2048 1 1
blk.10.attn_q_a_norm.weight 0 2048 1 1 1
blk.10.attn_q_b.weight 8 2048 16384 1 1
blk.10.attn_v_b.weight 8 512 256 64 1
blk.10.exp_probs_b.bias 0 256 1 1 1
blk.10.ffn_down_exps.weight 13 2048 6144 256 1
blk.10.ffn_down_shexp.weight 8 2048 6144 1 1
blk.10.ffn_gate_exps.weight 12 6144 2048 256 1
blk.10.ffn_gate_inp.weight 0 6144 256 1 1
blk.10.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.10.ffn_norm.weight 0 6144 1 1 1
blk.10.ffn_up_exps.weight 12 6144 2048 256 1
blk.10.ffn_up_shexp.weight 8 6144 2048 1 1
blk.10.indexer.attn_k.weight 8 6144 128 1 1
blk.10.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.10.indexer.k_norm.bias 0 128 1 1 1
blk.10.indexer.k_norm.weight 0 128 1 1 1
blk.10.indexer.proj.weight 0 6144 32 1 1
blk.11.attn_k_b.weight 8 192 512 64 1
blk.11.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.11.attn_kv_a_norm.weight 0 512 1 1 1
blk.11.attn_norm.weight 0 6144 1 1 1
blk.11.attn_output.weight 8 16384 6144 1 1
blk.11.attn_q_a.weight 8 6144 2048 1 1
blk.11.attn_q_a_norm.weight 0 2048 1 1 1
blk.11.attn_q_b.weight 8 2048 16384 1 1
blk.11.attn_v_b.weight 8 512 256 64 1
blk.11.exp_probs_b.bias 0 256 1 1 1
blk.11.ffn_down_exps.weight 13 2048 6144 256 1
blk.11.ffn_down_shexp.weight 8 2048 6144 1 1
blk.11.ffn_gate_exps.weight 12 6144 2048 256 1
blk.11.ffn_gate_inp.weight 0 6144 256 1 1
blk.11.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.11.ffn_norm.weight 0 6144 1 1 1
blk.11.ffn_up_exps.weight 12 6144 2048 256 1
blk.11.ffn_up_shexp.weight 8 6144 2048 1 1
blk.11.indexer.attn_k.weight 8 6144 128 1 1
blk.11.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.11.indexer.k_norm.bias 0 128 1 1 1
blk.11.indexer.k_norm.weight 0 128 1 1 1
blk.11.indexer.proj.weight 0 6144 32 1 1
blk.12.attn_k_b.weight 8 192 512 64 1
blk.12.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.12.attn_kv_a_norm.weight 0 512 1 1 1
blk.12.attn_norm.weight 0 6144 1 1 1
blk.12.attn_output.weight 8 16384 6144 1 1
blk.12.attn_q_a.weight 8 6144 2048 1 1
blk.12.attn_q_a_norm.weight 0 2048 1 1 1
blk.12.attn_q_b.weight 8 2048 16384 1 1
blk.12.attn_v_b.weight 8 512 256 64 1
blk.12.exp_probs_b.bias 0 256 1 1 1
blk.12.ffn_down_exps.weight 13 2048 6144 256 1
blk.12.ffn_down_shexp.weight 8 2048 6144 1 1
blk.12.ffn_gate_exps.weight 12 6144 2048 256 1
blk.12.ffn_gate_inp.weight 0 6144 256 1 1
blk.12.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.12.ffn_norm.weight 0 6144 1 1 1
blk.12.ffn_up_exps.weight 12 6144 2048 256 1
blk.12.ffn_up_shexp.weight 8 6144 2048 1 1
blk.12.indexer.attn_k.weight 8 6144 128 1 1
blk.12.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.12.indexer.k_norm.bias 0 128 1 1 1
blk.12.indexer.k_norm.weight 0 128 1 1 1
blk.12.indexer.proj.weight 0 6144 32 1 1
blk.13.attn_k_b.weight 8 192 512 64 1
blk.13.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.13.attn_kv_a_norm.weight 0 512 1 1 1
blk.13.attn_norm.weight 0 6144 1 1 1
blk.13.attn_output.weight 8 16384 6144 1 1
blk.13.attn_q_a.weight 8 6144 2048 1 1
blk.13.attn_q_a_norm.weight 0 2048 1 1 1
blk.13.attn_q_b.weight 8 2048 16384 1 1
blk.13.attn_v_b.weight 8 512 256 64 1
blk.13.exp_probs_b.bias 0 256 1 1 1
blk.13.ffn_down_exps.weight 13 2048 6144 256 1
blk.13.ffn_down_shexp.weight 8 2048 6144 1 1
blk.13.ffn_gate_exps.weight 12 6144 2048 256 1
blk.13.ffn_gate_inp.weight 0 6144 256 1 1
blk.13.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.13.ffn_norm.weight 0 6144 1 1 1
blk.13.ffn_up_exps.weight 12 6144 2048 256 1
blk.13.ffn_up_shexp.weight 8 6144 2048 1 1
blk.13.indexer.attn_k.weight 8 6144 128 1 1
blk.13.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.13.indexer.k_norm.bias 0 128 1 1 1
blk.13.indexer.k_norm.weight 0 128 1 1 1
blk.13.indexer.proj.weight 0 6144 32 1 1
blk.14.attn_k_b.weight 8 192 512 64 1
blk.14.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.14.attn_kv_a_norm.weight 0 512 1 1 1
blk.14.attn_norm.weight 0 6144 1 1 1
blk.14.attn_output.weight 8 16384 6144 1 1
blk.14.attn_q_a.weight 8 6144 2048 1 1
blk.14.attn_q_a_norm.weight 0 2048 1 1 1
blk.14.attn_q_b.weight 8 2048 16384 1 1
blk.14.attn_v_b.weight 8 512 256 64 1
blk.14.exp_probs_b.bias 0 256 1 1 1
blk.14.ffn_down_exps.weight 13 2048 6144 256 1
blk.14.ffn_down_shexp.weight 8 2048 6144 1 1
blk.14.ffn_gate_exps.weight 12 6144 2048 256 1
blk.14.ffn_gate_inp.weight 0 6144 256 1 1
blk.14.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.14.ffn_norm.weight 0 6144 1 1 1
blk.14.ffn_up_exps.weight 12 6144 2048 256 1
blk.14.ffn_up_shexp.weight 8 6144 2048 1 1
blk.14.indexer.attn_k.weight 8 6144 128 1 1
blk.14.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.14.indexer.k_norm.bias 0 128 1 1 1
blk.14.indexer.k_norm.weight 0 128 1 1 1
blk.14.indexer.proj.weight 0 6144 32 1 1
blk.15.attn_k_b.weight 8 192 512 64 1
blk.15.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.15.attn_kv_a_norm.weight 0 512 1 1 1
blk.15.attn_norm.weight 0 6144 1 1 1
blk.15.attn_output.weight 8 16384 6144 1 1
blk.15.attn_q_a.weight 8 6144 2048 1 1
blk.15.attn_q_a_norm.weight 0 2048 1 1 1
blk.15.attn_q_b.weight 8 2048 16384 1 1
blk.15.attn_v_b.weight 8 512 256 64 1
blk.15.exp_probs_b.bias 0 256 1 1 1
blk.15.ffn_down_exps.weight 13 2048 6144 256 1
blk.15.ffn_down_shexp.weight 8 2048 6144 1 1
blk.15.ffn_gate_exps.weight 12 6144 2048 256 1
blk.15.ffn_gate_inp.weight 0 6144 256 1 1
blk.15.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.15.ffn_norm.weight 0 6144 1 1 1
blk.15.ffn_up_exps.weight 12 6144 2048 256 1
blk.15.ffn_up_shexp.weight 8 6144 2048 1 1
blk.15.indexer.attn_k.weight 8 6144 128 1 1
blk.15.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.15.indexer.k_norm.bias 0 128 1 1 1
blk.15.indexer.k_norm.weight 0 128 1 1 1
blk.15.indexer.proj.weight 0 6144 32 1 1
blk.16.attn_k_b.weight 8 192 512 64 1
blk.16.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.16.attn_kv_a_norm.weight 0 512 1 1 1
blk.16.attn_norm.weight 0 6144 1 1 1
blk.16.attn_output.weight 8 16384 6144 1 1
blk.16.attn_q_a.weight 8 6144 2048 1 1
blk.16.attn_q_a_norm.weight 0 2048 1 1 1
blk.16.attn_q_b.weight 8 2048 16384 1 1
blk.16.attn_v_b.weight 8 512 256 64 1
blk.16.exp_probs_b.bias 0 256 1 1 1
blk.16.ffn_down_exps.weight 13 2048 6144 256 1
blk.16.ffn_down_shexp.weight 8 2048 6144 1 1
blk.16.ffn_gate_exps.weight 12 6144 2048 256 1
blk.16.ffn_gate_inp.weight 0 6144 256 1 1
blk.16.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.16.ffn_norm.weight 0 6144 1 1 1
blk.16.ffn_up_exps.weight 12 6144 2048 256 1
blk.16.ffn_up_shexp.weight 8 6144 2048 1 1
blk.16.indexer.attn_k.weight 8 6144 128 1 1
blk.16.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.16.indexer.k_norm.bias 0 128 1 1 1
blk.16.indexer.k_norm.weight 0 128 1 1 1
blk.16.indexer.proj.weight 0 6144 32 1 1
blk.17.attn_k_b.weight 8 192 512 64 1
blk.17.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.17.attn_kv_a_norm.weight 0 512 1 1 1
blk.17.attn_norm.weight 0 6144 1 1 1
blk.17.attn_output.weight 8 16384 6144 1 1
blk.17.attn_q_a.weight 8 6144 2048 1 1
blk.17.attn_q_a_norm.weight 0 2048 1 1 1
blk.17.attn_q_b.weight 8 2048 16384 1 1
blk.17.attn_v_b.weight 8 512 256 64 1
blk.17.exp_probs_b.bias 0 256 1 1 1
blk.17.ffn_down_exps.weight 13 2048 6144 256 1
blk.17.ffn_down_shexp.weight 8 2048 6144 1 1
blk.17.ffn_gate_exps.weight 12 6144 2048 256 1
blk.17.ffn_gate_inp.weight 0 6144 256 1 1
blk.17.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.17.ffn_norm.weight 0 6144 1 1 1
blk.17.ffn_up_exps.weight 12 6144 2048 256 1
blk.17.ffn_up_shexp.weight 8 6144 2048 1 1
blk.17.indexer.attn_k.weight 8 6144 128 1 1
blk.17.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.17.indexer.k_norm.bias 0 128 1 1 1
blk.17.indexer.k_norm.weight 0 128 1 1 1
blk.17.indexer.proj.weight 0 6144 32 1 1
blk.18.attn_k_b.weight 8 192 512 64 1
blk.18.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.18.attn_kv_a_norm.weight 0 512 1 1 1
